Report,Label,Feature,Sentence
report01.pdf.txt_sent.csv,,,"In particular, did the orders and trades by Vincent create, or were likely to create, a false or misleading appearance with respect to the market for AIM shares?"
report01.pdf.txt_sent.csv,,,"What appearance did the orders and trades conducted by Vincent create, or were likely to create, with respect to the price of AIM shares?"
report01.pdf.txt_sent.csv,,,"In particular, did the orders and trades by Vincent create, or were likely to create, a false or misleading appearance with respect to the price of AIM shares?"
report01.pdf.txt_sent.csv,,,"Should you be of the opinion that the orders and trades by Vincent had affected the market for and/or price of AIM shares in any way, please give your opinion on whether it could be inferred that the orders and trades were intentionally carried out to cause such an appearance or effect, and if so, the basis of this inference."
report01.pdf.txt_sent.csv,,,"In the above analysis, you may assume that the orders and trades in Teo Siew Ling?s securities trading account were conducted by Vincent."
report01.pdf.txt_sent.csv,,,All my expert opinions rely on one significant assumption - that the trading efficiency of the Singapore Stock Market is best described by the ?semi-strong form? market efficiency theory.
report01.pdf.txt_sent.csv,,,This market theory states that equity markets are generally efficient but are not always or wholly efficient.
report01.pdf.txt_sent.csv,,,There are rival theories and they include: a ?strong form? theory that postulates that stock markets are wholly efficient; and a ?weak form? theory that postulates that stock markets are wholly inefficient.
report01.pdf.txt_sent.csv,,,In a wholly efficient market (?strong form?) all information is known and thus no action undertaken by any person can distort or manipulate the market.
report01.pdf.txt_sent.csv,,,"In a wholly inefficient market (?weak form?) very little information is available to, or known by, investors."
report01.pdf.txt_sent.csv,,,Thus all actions distort the market significantly.
report01.pdf.txt_sent.csv,,,It is my experience that most of my fellow professionals in the finance industry adhere to the semi-strong form market efficiency assumption.
report01.pdf.txt_sent.csv,,,This expert opinion has been prepared in the knowledge that it may be used in a court of law.
report01.pdf.txt_sent.csv,,,"Not withstanding the fact that this expert opinion was requested by the Commercial Affairs Department, I confirm that this expert opinion is independent in the sense that the opinions it sets forth have not been influenced by the Commercial Affairs Department and has been prepared to assist the Court rather than to support the case before me."
report01.pdf.txt_sent.csv,,,I further confirm that I understand my duties as an expert witness to the Court and that I have complied with such duties.
report01.pdf.txt_sent.csv,,,"During the Relevant Period there were 185 Market Days, meaning 185 days when the SGX was open for trading."
report01.pdf.txt_sent.csv,,,"AIM Shares only traded on 146 days out of the 185 available days, meaning on 39 Market Days during the Relevant Period there were no trades in AIM Shares."
report01.pdf.txt_sent.csv,Event,Number of days a specific event happened vs number of days suspects traded over the review period,"Of the 146 days that AIM Shares were traded during the Relevant Period, Vincent traded on 74 of those days."
report01.pdf.txt_sent.csv,Event,Number of days a specific event happened vs number of days suspects traded over the review period,Meaning that Vincent traded on 50.6% or just above half the number of days AIM Shares was traded during the Relevant Period.
report01.pdf.txt_sent.csv,Reason,,Vincent was therefore a very active trader of AIM Shares during the Relevant Period.
report01.pdf.txt_sent.csv,Event,Shares traded by suspects vs total outstanding shares,"During the Relevant Period some 79,997,000 Shares were traded."
report01.pdf.txt_sent.csv,Event,Shares traded by suspects vs total outstanding shares,"During the Relevant Period Vincent bought 36,878,000 Shares."
report01.pdf.txt_sent.csv,Event,Shares traded by suspects vs total outstanding shares,During the Relevant Period Vincent sold no Shares.
report01.pdf.txt_sent.csv,Event,Shares traded by suspects vs total outstanding shares,Vincent thus accounted for some 46% of all traded volume.
report01.pdf.txt_sent.csv,Reason,,"Vincent therefore contributed very significantly to the traded volume of, and was a very important source of demand for, the Shares during the Relevant Period."
report01.pdf.txt_sent.csv,Event,Number of days a specific event happened vs number of days suspects traded over the review period,"During the rest of 2006, being the 75 Market Days of 2006 not within the Relevant Period, Vincent bought 8,245,000 Shares."
report01.pdf.txt_sent.csv,Event,Shares traded by suspects vs total outstanding shares,"Meaning that Vincent bought a total of 45,123,000 Shares in 2006 of which nearly 82% were during the Relevant Period."
report01.pdf.txt_sent.csv,Attribute,Index,"8 Market days after the start1 of the Relevant Period (being 27 Feb. 2006) and as shown on the following page, the price of the Shares started to significantly outperform the overall market2 and the industrial sector3 to which AIM belongs."
report01.pdf.txt_sent.csv,Attribute,Index,7 Market days after the end1 of the Relevant Period (being 10 Nov. 2006) the price of the Shares started to significantly underperform the STI and SESMANU indices.
report01.pdf.txt_sent.csv,,,It is not uncommon for an observable trend to emerge only after a period due to price ?inertia?.
report01.pdf.txt_sent.csv,,,"In contrast, and during this period, the price of AIM Shares rose by 3% or 1 cent from 33 cents to 34 cents."
report01.pdf.txt_sent.csv,,,I have reviewed the announcements of AIM for the whole of 2006.
report01.pdf.txt_sent.csv,,,A list of the announcements made by AIM is shown in Appendix 3.
report01.pdf.txt_sent.csv,,,There were only two notable announcements prior to the 27 February 2006 and the start of the AIM Share price rally.
report01.pdf.txt_sent.csv,Attribute,News/annoucement,I do not believe that these announcements could have contributed to the price of the Shares outperforming so significantly the STI and SESMANU during the period described in Point 9 given that: a.
report01.pdf.txt_sent.csv,,,"The first announcement on 19 January 2006 was with respect to the acquisition of the intellectual property rights to the following lancet assembly, safety syringe, safety heel stick & safety scalpel."
report01.pdf.txt_sent.csv,,,In an announcement dated 20 January 2006 AIM further announced it was unable to judge the likely impact of this acquisition as the inventions were new.
report01.pdf.txt_sent.csv,,,"Further, and given that AIM?s main products are avionics for the aerospace industry it is difficult to see why investors would get very excited by ASIM acquiring a mass market low per unit value medical device."
report01.pdf.txt_sent.csv,,,The second announcement on the 15 February 2006 is with respect to the full year 2005 earnings.
report01.pdf.txt_sent.csv,,,On an pro-forma adjusted basis the net profit announced was S$8.5 million down from FY2004?s S$12.1 million.
report01.pdf.txt_sent.csv,,,It is also difficult to see why investors would greet such a decline warmly.
report01.pdf.txt_sent.csv,,,There were only two notable announcements in the 8 weeks leading up to 10 November 2006 and the start of the AIM Share price decline.
report01.pdf.txt_sent.csv,Attribute,News/annoucement,I do not believe that these announcements which both occurred on the 10 November 2006 could have contributed to the price of the Shares underperforming so significantly the STI and SESMANU post this date given that:
report01.pdf.txt_sent.csv,,,"One announcement, in my opinion, was mildly negative and relates to the resignation of the COO of AIM."
report01.pdf.txt_sent.csv,,,Unlike many small to medium sized companies AIM is relatively rich in management.
report01.pdf.txt_sent.csv,,,"It has Vincent who is the founder, major shareholder, Executive Chairman and CEO and who has a host of degrees and many years experience in the industry."
report01.pdf.txt_sent.csv,,,It has Dr. Philip Poh as Group Managing Director and who also has a host of degrees and is a specialist in supply chain management.
report01.pdf.txt_sent.csv,,,"d. One announcement, in my opinion, was mildly positive and relates to 3rd quarter 2006 earnings."
report01.pdf.txt_sent.csv,,,The number showed that 3rd quarter 2006 net profit after tax as compared to that of the 3rd quarter 2005 rose by 33.1%.
report01.pdf.txt_sent.csv,,,"However, the cumulative net profit after tax of the first 9 months of 2006 was still lower than that of the first 9 months of 2005 though the gap had declined significantly from the first quarters -39.0% to -7.8%."
report01.pdf.txt_sent.csv,Attribute,News/annoucement,I have reviewed the announcements of AIM during for 2006 and do not believe that these announcements could have contributed to the price of the Shares performing so well during the market correction as described in Point 10.
report01.pdf.txt_sent.csv,,,In fact the only announcement of note was a negative announcement of the 11 May 2006 and which preceded the market correction.
report01.pdf.txt_sent.csv,,,This was the announcement of the 1st quarter earnings.
report01.pdf.txt_sent.csv,,,"This announcement showed revenues down 6.6%, a sharp gross margin decline and net profit after tax down -39.0%."
report01.pdf.txt_sent.csv,Reason,,13 Vincent?s pattern of trading during the Relevant Period was unusual.
report01.pdf.txt_sent.csv,,,Of the 74 Days that Vincent traded: e.
report01.pdf.txt_sent.csv,,,"On most of these days, Vincent executed the bulk of his day?s trade in the afternoon4."
report01.pdf.txt_sent.csv,Event,Number of days a specific event happened vs number of days suspects traded over the review period,"On 64 days, accounting for 87% of the 74 Days, Vincent executed 50% or more of his trades in the afternoon."
report01.pdf.txt_sent.csv,Event,Number of days a specific event happened vs number of days suspects traded over the review period,"On 53 days, accounting for 71% of the 74 Days, Vincent executed the 65% or more of his trades in the afternoon."
report01.pdf.txt_sent.csv,Event,Number of days a specific event happened vs number of days suspects traded over the review period,"On 30 days, accounting for 40% of the 74 Days, Vincent executed all of his 4 With respect to the volume of Shares Vincent executed, the bulk also took place in the afternoon (about 60%)."
report01.pdf.txt_sent.csv,Reason,,"Given the size and incidence of Vincent?s trades, it is difficult to envisage a situation whereby Vincent?s bias towards afternoon trading would not influence the afternoon session price of the Shares, and the closing price of the Shares, during the Relevant Period; Table 2:"
report01.pdf.txt_sent.csv,,,The pattern of Vincent?s trades on the days that he traded during the Relevant Period f.
report01.pdf.txt_sent.csv,Event,Shares traded by suspect before closing and during pre-close vs full day volume,"On 61 days, or 82% of the 74 Days, Vincent was either the last trade of the day or Vincent accounted for the whole or a very significant percentage of the pre- close5."
report01.pdf.txt_sent.csv,,,"Of the 61 days, 39 days did not have pre-close activity."
report01.pdf.txt_sent.csv,Event,Number of days a specific event happened vs number of days suspects traded over the review period,"On these days, Vincent?s trade was the last trade of the day."
report01.pdf.txt_sent.csv,,,"Of the 61 days, 22 days had pre- close activity."
report01.pdf.txt_sent.csv,,,"On these days, Vincent?s trades accounted for the whole or a very significant percentage of the pre-close trade on these days."
report01.pdf.txt_sent.csv,Reason,,Given the size and incidence of Vincent?s trades it is difficult to envisage a situation whereby Vincent?s preference for being the last trade of the day or dominating pre-close trade would not have influenced the closing price on all of these 61 days during the Relevant Period;
report01.pdf.txt_sent.csv,,,For more details please see Appendix 4.
report01.pdf.txt_sent.csv,,,There was no afternoon or pre-close trade.
report01.pdf.txt_sent.csv,Event,,Vincent?s trade was the last trade of the morning session.
report01.pdf.txt_sent.csv,,,"The table below tracks the Intraday Price, meaning the change in the price between the day?s opening price and the day?s closing price during the Relevant Period."
report01.pdf.txt_sent.csv,,,"For example, the number 23 in the table on the following page means that on 23 days the Intraday Price, on the days that Vincent did not trade, experienced no change."
report01.pdf.txt_sent.csv,,,"For example, the number 19 in the table on the following page means that on 19 days the Intraday Price, on the days that Vincent did trade, experienced a +1 cent change."
report01.pdf.txt_sent.csv,,,From this table it can be noted that: a.
report01.pdf.txt_sent.csv,,,"On the days that Vincent did not trade, the Intraday Price spread was -1 cent to +3 cents."
report01.pdf.txt_sent.csv,,,The spread was thus 4 cents or about 12.5% of the average closing price of the Share6 price during the Relevant Period.
report01.pdf.txt_sent.csv,Event,Number of days a specific event happened vs number of days suspects traded over the review period,"But on the days that 6 Of about 31.9 cents 110 Vincent traded, the Intraday Price spread was -2 cents to +5 cents."
report01.pdf.txt_sent.csv,,,The spread was thus 7 cents or a whopping 22% of the average closing price of the Share6 price during the Relevant Period.
report01.pdf.txt_sent.csv,Event,Number of days a specific event happened vs number of days suspects traded over the review period,"The average Intraday Price movement, on the days that Vincent did not trade was 0.43 cents."
report01.pdf.txt_sent.csv,Event,Number of days a specific event happened vs number of days suspects traded over the review period,"The average Intraday Price movement, on the days that Vincent traded was 1.05 cents or nearly 2.5 times larger."
report01.pdf.txt_sent.csv,Event,Number of days a specific event happened vs number of days suspects traded over the review period,"Last but not least, the usual steady state, meaning the median Intraday Price change (represented by the 32% backgrounded in yellow in the table below) on days that Vincent did not traded was zero (no change)."
report01.pdf.txt_sent.csv,Event,Number of days a specific event happened vs number of days suspects traded over the review period,The most likely movement on days that Vincent did not traded (80% being 29% and 32% and 19%) was + or ? 1 cent.
report01.pdf.txt_sent.csv,Event,Number of days a specific event happened vs number of days suspects traded over the review period,"On the other hand, on days that Vincent traded, the median Intraday Price change (represented by the 45% backgrounded in yellow in the table below) was 1 cent and the most likely movement (82% being 26% and 45% and 11%) was + or ? 2 cents."
report01.pdf.txt_sent.csv,Reason,,"Given Points 5 to 14, I am of the opinion that; a. Vincent was a very significant trader and source of demand for AIM shares during the Relevant Period and significant trader and source of demand for AIM shares in 2006 as a whole."
report01.pdf.txt_sent.csv,Attribute,Index,"From the perspective of an ordinary investor, and given the information available from AIM in 2006, there was no apparent reason for: (i) the price of AIM Shares to significantly outperformed the STI and SESMANU during"
report01.pdf.txt_sent.csv,Attribute,Index,the price of the Shares to rise when the STI and SESMANU indices fell during the market correction of 15 May to 14 June 2006.
report01.pdf.txt_sent.csv,Reason,,c. Vincent?s pattern of trading was unusual.
report01.pdf.txt_sent.csv,Event,Shares traded by suspect before closing and during pre-close vs full day volume,Vincent favoured trading in the afternoon session and was frequently the last trade of the day on days when there were no pre-close trades.
report01.pdf.txt_sent.csv,Event,Shares traded by suspect before closing and during pre-close vs full day volume,Vincent trades frequently dominate pre-close trades on days when there were pre-close trades.
report01.pdf.txt_sent.csv,Reason,,It would be difficult to envisage a situation where Vincent?s trading pattern would not impact the appearance with respect to the price of AIM Shares.
report01.pdf.txt_sent.csv,Event,Number of days a specific event happened vs number of days suspects traded over the review period,"On the days that Vincent traded, Vincent?s trades altered the Intraday Price?s total, average and median spreads."
report01.pdf.txt_sent.csv,Reason,,"Therefore, and on the days during the Relevant Period that Vincent traded, Vincent?s trades created a false or misleading appearance with respect to the price of AIM Shares."
report01.pdf.txt_sent.csv,Reason,,"When one investor is such as significant trader of a security, it is inevitable that this investor will impact not only the price on the day that he trades but also other investor perceptions and thus the price on days which he did not trade."
report01.pdf.txt_sent.csv,Reason,,"Therefore, and on the days during the Relevant Period that Vincent did not trade, Vincent?s trades was likely to create a false or misleading appearance with respect to the price of AIM Shares."
report01.pdf.txt_sent.csv,Reason,,"112 f. Vincent trades during the Relevant Period created, and were likely to create, a false or misleading appearance with respect to the price of AIM shares."
report01.pdf.txt_sent.csv,,,Market for the Securities 16 A market can be defined in several ways.
report01.pdf.txt_sent.csv,,,For the purposes of this report I have defined a market as a process where securities are bought and sold by various parties or persons.
report01.pdf.txt_sent.csv,,,"Thus, and at its most basic, a market is simply the sum of the price at which quantities of a security has been traded."
report01.pdf.txt_sent.csv,,,Market = sum (price * volume traded)
report01.pdf.txt_sent.csv,,,17 Given Point 16 the following matrix can be derived.
report01.pdf.txt_sent.csv,,,The word impact means the impact of Vincent?s action on the price or the traded volume of the Share.
report01.pdf.txt_sent.csv,,,Maybe (quadrant 3) Impact on traded volume of Share is material
report01.pdf.txt_sent.csv,Event,Shares traded by suspects vs total outstanding shares,In Point 7 it was noted that Vincent accounted for some 46% of all traded volume during the Relevant Period.
report01.pdf.txt_sent.csv,Reason,,"Once any investor accounts for more than 30% of a day or a period?s trade, it is inevitable that the investor will impact the traded volume of the security for that day or period (the ?30% Rule?)."
report01.pdf.txt_sent.csv,Event,Number of days a specific event happened vs number of days suspects traded over the review period,"Besides being significant during that Relevant Period, Vincent?s trades were also very significant on select days during the Relevant Period (please see table on 113 following page)."
report01.pdf.txt_sent.csv,,,On 8 of those days Vincent accounted for all the purchases.
report01.pdf.txt_sent.csv,Event,Number of days a specific event happened vs number of days suspects traded over the review period,On 63 days (being 8 + 55 days) Vincent accounted for 50% or more of the purchases.
report01.pdf.txt_sent.csv,Event,Shares traded by suspects vs total outstanding shares,Vincent accounted for 30% or more of the purchases.
report01.pdf.txt_sent.csv,,,69 days represent 47% or nearly half of the days that AIM Shares were traded during the Relevant Period.
report01.pdf.txt_sent.csv,,,Total Traded Volume Accounted for 100%
report01.pdf.txt_sent.csv,,,"In Points 9, 10, 13 and 14, I demonstrated that Vincent?s trades significantly affected the price of AIM Shares."
report01.pdf.txt_sent.csv,Reason,,"Given this and Points 16 to 19, I am of the opinion that: a. On the 69 days that Vincent accounted for 30% or more of that day?s total trades, Vincent would have very significantly impacted the traded volume of those days."
report01.pdf.txt_sent.csv,,,Accordingly Vincent?s actions fall into quadrant 1 of Point 17?s matrix.
report01.pdf.txt_sent.csv,Reason,,Accordingly I am of the belief that orders and trades by Vincent created a false or misleading appearance with respect to the market for AIM Shares on these 69 days.
report01.pdf.txt_sent.csv,Reason,,b. Vincent accounted for 46% of all trades during the Relevant Period and thus was a significant trader of AIM Shares during the Relevant Period.
report01.pdf.txt_sent.csv,,,Accordingly Vincent?s actions fall into quadrant 1 of Point 17?s matrix.
report01.pdf.txt_sent.csv,Reason,,When one investor is such as significant trader of a security it is inevitable that this investor will impact not only the traded volume of that day but also other investor perceptions and thus the traded volume of days on which he did not trade.
report01.pdf.txt_sent.csv,Reason,,Accordingly I am of the belief that the orders and trades by Vincent were likely to create a false or misleading appearance with respect to the market for AIM Shares during the whole of the Relevant Period.
report01.pdf.txt_sent.csv,,,I have neither spoken to Vincent or Teo nor read any statement made by them.
report01.pdf.txt_sent.csv,,,Thus my observations below are merely ones based on the data and facts detailed in Appendix 1 of this report.
report01.pdf.txt_sent.csv,Reason,,22 Vincent is the major shareholder of AIM.
report01.pdf.txt_sent.csv,Event,Shares traded by suspects vs total outstanding shares,"Vincent as at the 3 Jan. 2006, or on the first Market Day of 2006, owned 480,671,528 Shares or about 73.3% of the total outstanding share capital of AIM."
report01.pdf.txt_sent.csv,,,23 AIM was listed on the 26 May 2005 or just under 9 months prior to the start of Vincent?s first purchase on the 16 Feb. 2006 and the Relevant Period.
report01.pdf.txt_sent.csv,,,"During the Relevant Period, the cumulative holding of Vincent rose as follows:"
report01.pdf.txt_sent.csv,,,Less than 9 months previously AIM debuted at an IPO price of 20 cents.
report01.pdf.txt_sent.csv,Event,,"Vincent felt it was reasonable pay an average price of 35.5 cents or 77% more than the IPO price for 1,205,000 Shares (highest average paid price)."
report01.pdf.txt_sent.csv,Attribute,News/annoucement,The announcements that I had reviewed did not suggest that the market had incorrectly discounted or was ignoring any significant news.
report01.pdf.txt_sent.csv,Attribute,Index,A review of the 2007 Annual Report (post balance sheet test) reaffirms my opinion that the market had not missed any major trends with respect to AIM or its industry.
report01.pdf.txt_sent.csv,,,6 Vincent's holding in AIM 115 Year Net Profit after Tax 2003
report01.pdf.txt_sent.csv,Reason,,The market and investors generally view negatively those securities whose liquidity is low.
report01.pdf.txt_sent.csv,Event,Shares traded by suspects vs total outstanding shares,Vincent?s actions reduced the number of shares that he did not own from around 175.1 million Shares at the start of the Relevant Period to 140.1 million Shares at the end of the Relevant Period.
report01.pdf.txt_sent.csv,,,"This is a 5.4 percentage point, or nearly 20% reduction (!!), in the free float."
report01.pdf.txt_sent.csv,Reason,,The market and investors generally view negatively those securities whose major shareholder or senior managers are selling the security.
report01.pdf.txt_sent.csv,Reason,,"As Vincent is both a major shareholder and the most senior manager, any selling he may undertake could undermine AIM?s Share price."
report01.pdf.txt_sent.csv,Reason,,Meaning Vincent could not have been buying the shares for trading purposes.
report01.pdf.txt_sent.csv,Reason,,One common reason why a major shareholder would acquire significantly more shares in his own company is if he believed that the company was significantly undervalued by the market.
report01.pdf.txt_sent.csv,Reason,,"Vincent must have thought that his company was reasonably valued, or at least not significantly undervalued, at 20 cents or he would not have agreed to IPO at that price."
report01.pdf.txt_sent.csv,Reason,,"There were no disclosed information that would suggest that the company was being significantly undervalued at the start of 2006 and that 35.5 cents, the highest average price that Vincent paid, was the ?right? price."
report01.pdf.txt_sent.csv,Attribute,Index,"A post event analysis, namely of a review of the 2007 Annual Report, and a review of the profit trend, of AIM did not suggest any discounted or ignored trend7."
report01.pdf.txt_sent.csv,Reason,,"Vincent may have had undisclosed information leading him to believe that AIM was worth 77% more than its IPO price, but this would be insider trading."
report01.pdf.txt_sent.csv,,,7 In fact the reverse was true.
report01.pdf.txt_sent.csv,,,AIM looked decided expensive at 35 cents with a historic 2005 PER of 27x and a prospective 2006 PER of 37x.
report01.pdf.txt_sent.csv,Reason,,The pattern of Vincent?s trades suggests to me the valuation of AIM may not have been the only or even the primary factor motivating him.
report01.pdf.txt_sent.csv,,,"Any investor, even a major shareholder, will want to maximize their profit on their investment."
report01.pdf.txt_sent.csv,,,Thus they would try to keep their cost of purchases low.
report01.pdf.txt_sent.csv,Event,,For instance: a. He did not spread his trades but concentrated them between the 15 February 2006 and 31 March 2006 and as shown in the chart below.
report01.pdf.txt_sent.csv,,,Such a concentration of buying could and did have dramatic effects.
report01.pdf.txt_sent.csv,Attribute,Index,"As noted in Point 9 and in Chart 1, the Shares started to significantly outperform the STI and the SESMANU around February and March 2006 and during Vincent?s initial purchasing spree."
report01.pdf.txt_sent.csv,Reason,,As a result the average cost that Vincent paid would have been higher than one paid by a prudent investor seeking to maximize returns
report01.pdf.txt_sent.csv,,,"b. Vincent started buying the Shares, after having made no trades between the 3 April 2006 and the 15 May 2006, on the 16 May 2006."
report01.pdf.txt_sent.csv,Attribute,Index,"May 2006 and 14 June 2006, the STI and the SESMANU declined by 9% and 14%."
report01.pdf.txt_sent.csv,Event,,Vincent?s initial purchases at around 31 cents could arguably be said to make sense given the decline of AIM Shares from above 34 cents.
report01.pdf.txt_sent.csv,Event,,"Vincent?s later purchases at around 33 cents and 33.5 cents, given the market correction, do not."
report01.pdf.txt_sent.csv,Reason,,It is difficult to understand why Vincent did not spread his buying over more days to achieve lower buying costs.
report01.pdf.txt_sent.csv,Reason,,An investor seeking to minimize cost: would not bias his trades towards the afternoon session but would spread his trades evenly throughout the day.
report01.pdf.txt_sent.csv,Reason,,This is because to do so would result in afternoon session and closing price rising and thus increasing the cost for the following day?s purchases.
report01.pdf.txt_sent.csv,,,"As evidenced in Vincent's Buying Pattern, Vincent biased his trades towards the afternoon and pre-close trading sessions."
report01.pdf.txt_sent.csv,Reason,,An investor seeking to minimize cost would not aggressively seek to execute the last trade or aggressively trade in the pre-close.
report01.pdf.txt_sent.csv,Reason,,This is because to do so would result in the closing price rising and thus increasing the cost for the following day?s purchases.
report01.pdf.txt_sent.csv,Reason,,"Point 14 clearly shows that by biasing his trades towards the afternoon session and aggressively seeking to execute the last trade and trade in the pre-close, Vincent significantly increased his pricing risk (the spread was larger) and paid more."
report01.pdf.txt_sent.csv,Reason,,"I believe that I have demonstrated in Points 5 to 20 that Vincent?s actions significantly impacted the price of, the traded volume of and thus the market for the Shares."
report01.pdf.txt_sent.csv,Reason,,In Points 21 to 28 I considered the likely actions and resulting trading pattern of a major shareholder of a relatively recent listed company and that of a prudent investor and compared them to Vincent?s actions and trading pattern.
report01.pdf.txt_sent.csv,Reason,,"Having done so, I find it difficult to escape the conclusion that Vincent intended to affect the price of AIM Shares."
report01.pdf.txt_sent.csv,Reason,,Vincent knew or should have known that his trading pattern would significant impact the price of AIM Shares.
report01.pdf.txt_sent.csv,Reason,,Vincent knew or should have known that his actions would cause the price of AIM Shares to rise significantly thereby creating a misleading appearance in the price of AIM Shares.
report01.pdf.txt_sent.csv,,,Please do not hesitate to contact me if you require any clarification or have any questions or comments.
report01.pdf.txt_sent.csv,,,Thanking you for your attention.
report02.pdf.txt_sent.csv,,,"Dear Madam, Please accept this letter as my considered opinion to the questions posed under your Terms of Reference received by myself on the 28 October 2004, with respect to $97 of the Securities Industry Act"
report02.pdf.txt_sent.csv,,,"Leong means Leong Yew Cheong, a former Executive Vice?Chairman and Director of Autron;"
report02.pdf.txt_sent.csv,,,It was originally listed on the ASX as Pacific Communications Holdings Ltd.
report02.pdf.txt_sent.csv,,,It changed to its current name on 5 July 2000 to reflect both a change in business and in control.
report02.pdf.txt_sent.csv,,,"On the 3 May 2001, Autron was listed by way of a dual listing on the @ SGX."
report02.pdf.txt_sent.csv,,,"At 30 June 2003, the total number of Autron Shares outstanding was 685,902,302."
report02.pdf.txt_sent.csv,,,"At 30 June 2004, the total number of Autron Shares cutstanding was 693,373,890."
report02.pdf.txt_sent.csv,,,"At 30 June 2003, there were no options or warrants outstanding."
report02.pdf.txt_sent.csv,,,"At 30 June 2004, there were 213,610,436 options outstanding that could be converted 213,610,436 shares for S$0.18 each and these options expire on 3 June 2007;"
report02.pdf.txt_sent.csv,,,One CD containing all the trades of Autron during the Relevant Period; and d. Announcements and press releases during the Relevant Period.
report02.pdf.txt_sent.csv,,,"In my opinion, did any of the orders or transactions, or any combination of © the orders or transactions executed in the accounts of Tan and Yew at the Pre? Close, as shown in Appendix 8 and 9 respectively, create or cause to be created or is calculated to create, a false or misleading appearance with respect to the market for, or the price of, Autron Corporation Limited shares, for the period from 1 April 2002 to 30 September 2002."
report02.pdf.txt_sent.csv,,,"If so, please give details of how this had happened and the extent to which this had happened."
report02.pdf.txt_sent.csv,,,"In my opinion, did any of the orders or transactions, or any combination of the orders or transactions executed in the accounts of Tan and Yew at the Pre? Close, as shown in Appendix 8 and 9 respectively, create or is intended to create or likely to create, a false or misleading appearance with respect to the market for, or the price of, Autron Corporation Limited shares, for the period from 1 October 2002 to 30 April 2003."
report02.pdf.txt_sent.csv,,,"If so, please give details of how this had happened and the extent to which this had happened."
report02.pdf.txt_sent.csv,,,"For the purposes of my analysis, I may wish to consider: a. Tan and Yew as acting and controlled as one by Leong; b."
report02.pdf.txt_sent.csv,,,That Leong sought Ng Geok Eng?s help to support the Share price and thus knew or should have known that Ng and his group traded Autron Shares; and
report02.pdf.txt_sent.csv,,,The prevailing market conditions or any other factors that may cause or contribute to the existing market and price conditions of Autron Corporation Limited shares during the Relevant Period.
report02.pdf.txt_sent.csv,,,"The Terms of Reference, namely paragraphs 3(a) and 4(a), divides the Relevant Period into two parts."
report02.pdf.txt_sent.csv,,,The reason for the division is that the SFA superseded the SIA with effect on 1 October 2002.
report02.pdf.txt_sent.csv,,,For analytical purposes it makes more sense to treat the Relevant Period as a continuous period.
report02.pdf.txt_sent.csv,,,"Accordingly and for the purposes of this letter I have treated, and reviewed, the whole of the Relevant Period as a continuous period."
